2.1889,2.1806,2.1723,2.1641,2.156,2.1479,2.1399,2.132,2.1241,2.1163,2.1085,2.1008,2.0932,2.0856,2.078,2.0706,2.0631,2.0558,2.0485,2.0412,2.034,2.0268,2.0197,2.0127,2.0057,1.9987,1.9918,1.9849,1.9781,1.9714,1.9646,1.958,1.9513,1.9448,1.9382,1.9317,1.9253,1.9189,1.9125,1.9062,1.8999
2.3269,2.318,2.3093,2.3005,2.2919,2.2833,2.2748,2.2663,2.2579,2.2496,2.2413,2.2331,2.225,2.2169,2.2089,2.2009,2.193,2.1852,2.1774,2.1697,2.162,2.1544,2.1468,2.1393,2.1319,2.1245,2.1171,2.1098,2.1026,2.0954,2.0882,2.0811,2.0741,2.0671,2.0601,2.0532,2.0463,2.0395,2.0328,2.026,2.0194
2.4651,2.4557,2.4463,2.4371,2.4279,2.4188,2.4098,2.4008,2.3919,2.3831,2.3743,2.3656,2.357,2.3484,2.3399,2.3314,2.3231,2.3147,2.3065,2.2983,2.2901,2.2821,2.274,2.2661,2.2582,2.2503,2.2425,2.2348,2.2271,2.2194,2.2119,2.2043,2.1969,2.1894,2.1821,2.1747,2.1675,2.1602,2.1531,2.1459,2.1389
2.6034,2.5934,2.5836,2.5738,2.5641,2.5544,2.5449,2.5354,2.526,2.5166,2.5074,2.4982,2.489,2.48,2.471,2.462,2.4532,2.4444,2.4357,2.427,2.4184,2.4098,2.4013,2.3929,2.3846,2.3763,2.368,2.3598,2.3517,2.3436,2.3356,2.3277,2.3198,2.3119,2.3041,2.2964,2.2887,2.281,2.2735,2.2659,2.2584
2.7418,2.7313,2.7209,2.7106,2.7004,2.6902,2.6801,2.6701,2.6602,2.6503,2.6406,2.6309,2.6212,2.6117,2.6022,2.5928,2.5834,2.5741,2.5649,2.5558,2.5467,2.5377,2.5288,2.5199,2.5111,2.5023,2.4936,2.485,2.4764,2.4679,2.4595,2.4511,2.4427,2.4345,2.4263,2.4181,2.41,2.4019,2.3939,2.386,2.3781
2.8804,2.8694,2.8585,2.8476,2.8368,2.8261,2.8155,2.805,2.7945,2.7842,2.7739,2.7637,2.7536,2.7435,2.7335,2.7236,2.7138,2.704,2.6943,2.6847,2.6752,2.6657,2.6563,2.6469,2.6377,2.6285,2.6193,2.6103,2.6012,2.5923,2.5834,2.5746,2.5658,2.5571,2.5485,2.5399,2.5314,2.5229,2.5145,2.5062,2.4979
3.0192,3.0076,2.9961,2.9847,2.9734,2.9622,2.951,2.94,2.929,2.9181,2.9073,2.8966,2.886,2.8754,2.865,2.8546,2.8443,2.834,2.8238,2.8138,2.8037,2.7938,2.7839,2.7741,2.7644,2.7547,2.7451,2.7356,2.7261,2.7168,2.7074,2.6982,2.689,2.6799,2.6708,2.6618,2.6528,2.644,2.6351,2.6264,2.6177
3.1581,3.1459,3.1339,3.122,3.1101,3.0984,3.0867,3.0751,3.0636,3.0522,3.0409,3.0297,3.0186,3.0075,2.9965,2.9856,2.9748,2.9641,2.9535,2.9429,2.9324,2.922,2.9116,2.9014,2.8912,2.8811,2.871,2.8611,2.8512,2.8413,2.8316,2.8219,2.8122,2.8027,2.7932,2.7838,2.7744,2.7651,2.7559,2.7467,2.7376
3.2971,3.2844,3.2718,3.2594,3.247,3.2347,3.2225,3.2104,3.1984,3.1864,3.1746,3.1629,3.1512,3.1397,3.1282,3.1168,3.1055,3.0943,3.0832,3.0721,3.0612,3.0503,3.0395,3.0288,3.0181,3.0075,2.997,2.9866,2.9763,2.966,2.9558,2.9457,2.9356,2.9256,2.9157,2.9058,2.896,2.8863,2.8767,2.8671,2.8576
3.4363,3.4231,3.4099,3.3969,3.384,3.3711,3.3584,3.3458,3.3332,3.3208,3.3085,3.2962,3.2841,3.272,3.26,3.2481,3.2364,3.2246,3.213,3.2015,3.1901,3.1787,3.1674,3.1562,3.1451,3.1341,3.1231,3.1123,3.1015,3.0907,3.0801,3.0695,3.059,3.0486,3.0383,3.028,3.0178,3.0076,2.9976,2.9876,2.9777
3.5757,3.5619,3.5482,3.5346,3.5211,3.5077,3.4945,3.4813,3.4682,3.4553,3.4424,3.4296,3.417,3.4044,3.3919,3.3796,3.3673,3.3551,3.343,3.331,3.3191,3.3072,3.2955,3.2838,3.2722,3.2607,3.2493,3.238,3.2268,3.2156,3.2045,3.1935,3.1826,3.1717,3.1609,3.1502,3.1396,3.129,3.1186,3.1081,3.0978
3.7152,3.7008,3.6865,3.6724,3.6584,3.6444,3.6306,3.6169,3.6034,3.5899,3.5765,3.5632,3.55,3.537,3.524,3.5111,3.4983,3.4856,3.4731,3.4606,3.4482,3.4358,3.4236,3.4115,3.3995,3.3875,3.3756,3.3638,3.3521,3.3405,3.329,3.3176,3.3062,3.2949,3.2837,3.2726,3.2615,3.2505,3.2396,3.2288,3.218
