0,0.423
0.01,0.423
0.02,0.449
0.03,0.453
0.04,0.452
0.05,0.451
0.06,0.449
0.07,0.447
0.08,0.445
0.09,0.443
0.1,0.442
0.11,0.44
0.12,0.439
0.13,0.437
0.14,0.436
0.15,0.435
0.16,0.434
0.17,0.433
0.18,0.432
0.19,0.431
0.2,0.43
0.21,0.429
0.22,0.429
0.23,0.428
0.24,0.427
0.25,0.426
0.26,0.426
0.27,0.426
0.28,0.425
0.29,0.425
0.3,0.425
0.31,0.425
0.32,0.425
0.33,0.424
0.34,0.424
0.35,0.424
0.36,0.424
0.37,0.424
0.38,0.424
0.39,0.424
0.4,0.424
0.41,0.423
0.42,0.423
0.43,0.423
0.44,0.423
0.45,0.423
0.46,0.423
0.47,0.423
0.48,0.423
0.49,0.423
0.5,0.423
0.51,0.423
0.52,0.423
0.53,0.423
0.54,0.423
0.55,0.423
0.56,0.423
0.57,0.423
0.58,0.424
0.59,0.424
0.6,0.424
0.61,0.424
0.62,0.425
0.63,0.426
0.64,0.426
0.65,0.427
0.66,0.428
0.67,0.428
0.68,0.429
0.69,0.43
0.7,0.43
0.71,0.431
0.72,0.432
0.73,0.432
0.74,0.433
0.75,0.434
0.76,0.434
0.77,0.435
0.78,0.436
0.79,0.437
0.8,0.437
0.81,0.438
0.82,0.439
0.83,0.439
0.84,0.44
0.85,0.441
0.86,0.442
0.87,0.442
0.88,0.443
0.89,0.444
0.9,0.445
0.91,0.448
0.92,0.457
0.93,0.471
0.94,0.485
0.95,0.499
0.96,0.514
0.97,0.528
0.98,0.543
0.99,0.557
1,0.571
1.01,0.586
1.02,0.6
1.03,0.615
1.04,0.629
1.05,0.643
1.06,0.643
1.07,0.642
1.08,0.641
1.09,0.64
1.1,0.639
1.11,0.639
1.12,0.638
1.13,0.637
1.14,0.637
1.15,0.636
1.16,0.634
1.17,0.633
1.18,0.631
1.19,0.63
1.2,0.628
1.21,0.625
1.22,0.624
1.23,0.622
1.24,0.62
1.25,0.618
1.26,0.616
1.27,0.614
1.28,0.612
1.29,0.61
1.3,0.609
1.31,0.607
1.32,0.605
1.33,0.603
1.34,0.602
1.35,0.6
1.36,0.598
1.37,0.597
1.38,0.595
1.39,0.593
1.4,0.592
1.41,0.59
1.42,0.589
1.43,0.587
1.44,0.586
1.45,0.584
1.46,0.583
1.47,0.581
1.48,0.58
1.49,0.578
1.5,0.577
1.51,0.576
1.52,0.574
1.53,0.573
1.54,0.572
1.55,0.57
1.56,0.569
1.57,0.568
1.58,0.566
1.59,0.565
1.6,0.564
1.61,0.563
1.62,0.562
1.63,0.56
1.64,0.559
1.65,0.558
1.66,0.557
1.67,0.556
1.68,0.555
1.69,0.554
1.7,0.552
1.71,0.551
1.72,0.55
1.73,0.549
1.74,0.548
1.75,0.547
1.76,0.545
1.77,0.544
1.78,0.542
1.79,0.541
1.8,0.539
1.81,0.538
1.82,0.536
1.83,0.535
1.84,0.533
1.85,0.532
1.86,0.53
1.87,0.529
1.88,0.527
1.89,0.526
1.9,0.524
1.91,0.523
1.92,0.522
1.93,0.52
1.94,0.519
1.95,0.517
1.96,0.516
1.97,0.515
1.98,0.513
1.99,0.512
2,0.51
2.01,0.509
2.02,0.508
2.03,0.507
2.04,0.506
2.05,0.505
2.06,0.504
2.07,0.502
2.08,0.501
2.09,0.5
2.1,0.499
2.11,0.498
2.12,0.497
2.13,0.496
2.14,0.495
2.15,0.494
2.16,0.493
2.17,0.491
2.18,0.49
2.19,0.489
2.2,0.488
2.21,0.487
2.22,0.486
2.23,0.485
2.24,0.484
2.25,0.483
2.26,0.482
2.27,0.481
2.28,0.48
2.29,0.479
2.3,0.478
2.31,0.477
2.32,0.476
2.33,0.475
2.34,0.474
2.35,0.473
2.36,0.472
2.37,0.471
2.38,0.47
2.39,0.469
2.4,0.468
2.41,0.467
2.42,0.466
2.43,0.465
2.44,0.464
2.45,0.463
2.46,0.462
2.47,0.461
2.48,0.46
2.49,0.459
2.5,0.458
2.51,0.457
2.52,0.457
2.53,0.456
2.54,0.455
2.55,0.454
2.56,0.453
2.57,0.452
2.58,0.451
2.59,0.45
2.6,0.449
2.61,0.448
2.62,0.447
2.63,0.446
2.64,0.446
2.65,0.445
2.66,0.444
2.67,0.443
2.68,0.442
2.69,0.441
2.7,0.44
2.71,0.439
2.72,0.439
2.73,0.438
2.74,0.437
2.75,0.436
2.76,0.435
2.77,0.434
2.78,0.433
2.79,0.433
2.8,0.432
2.81,0.431
2.82,0.43
2.83,0.429
2.84,0.428
2.85,0.427
2.86,0.427
2.87,0.426
2.88,0.425
2.89,0.424
2.9,0.423
2.91,0.423
2.92,0.422
2.93,0.421
2.94,0.42
2.95,0.419
2.96,0.418
2.97,0.418
2.98,0.417
2.99,0.416
3,0.415
